id;subject;type;attachment;attachment_content_type;attachment_name;status;sent_date_time
1;withdrawal;FAX;../fake-data/blob/hipster.png;image/png;generate cross-platform Investment Account;Directives parsing partnerships;2020-11-16T11:51:52
2;strategy Solomon Islands;COMMENT;../fake-data/blob/hipster.png;image/png;Anguilla;Ameliorated;2020-11-16T08:45:51
3;Oklahoma Bermudian Dollar (customarily known as Bermuda Dollar);COMMENT;../fake-data/blob/hipster.png;image/png;core;Granite;2020-11-16T12:07:08
4;e-markets revolutionize;SMS;../fake-data/blob/hipster.png;image/png;National Consultant;Administrator;2020-11-16T16:21:29
5;Web Fish;SMS;../fake-data/blob/hipster.png;image/png;Auto Loan Account strategic;Bedfordshire;2020-11-16T06:49:31
6;Solutions primary;EMAIL;../fake-data/blob/hipster.png;image/png;deposit National;Data Soft back-end;2020-11-16T11:16:38
7;Developer;EMAIL;../fake-data/blob/hipster.png;image/png;Functionality Cambridgeshire Licensed Steel Bacon;virtual Cambridgeshire ADP;2020-11-16T22:17:34
8;viral Generic Steel Gloves;SMS;../fake-data/blob/hipster.png;image/png;mint green;Versatile invoice Incredible Soft Bike;2020-11-16T19:17:02
9;Division;EMAIL;../fake-data/blob/hipster.png;image/png;Cambridgeshire Lek;Accountability;2020-11-16T12:13:42
10;Island Architect;SMS;../fake-data/blob/hipster.png;image/png;New Hampshire;withdrawal Equatorial Guinea;2020-11-16T10:33:53
